date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:29	18282/18282	---M-Z	200	added ('OK')	text/javascript	etag:%221532-58801c5151fbd%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/js/js_9HvB1Jr9KGNuZDAmjbXvK7t4bXSm_CDdZsB4kzL0PP0.js	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/js/js_9HvB1Jr9KGNuZDAmjbXvK7t4bXSm_CDdZsB4kzL0PP0.js	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:30	119723/119723	---M-Z	200	added ('OK')	text/javascript	etag:%22a1db-58801a2a2464d%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/js/js_EebRuRXFlkaf356V0T2K_8cnUVfCKesNTxdvvPSEhCM.js	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/js/js_EebRuRXFlkaf356V0T2K_8cnUVfCKesNTxdvvPSEhCM.js	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:31	14416/14416	---M-Z	200	added ('OK')	text/javascript	etag:%22e1f-58801c5152f5d%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/js/js_SnmFBIu8YveCBGgkJfvrtcMZuuIOnbd4iPnZIHxER6k.js	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/js/js_SnmFBIu8YveCBGgkJfvrtcMZuuIOnbd4iPnZIHxER6k.js	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:35	32199/32199	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:36%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/%c2%bfqui%c3%a9nes-somos	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/pagina/%c2%bfqui%c3%a9nes-somos.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:35	20368/20368	---M--	200	added ('OK')	image/png	etag:%224f90-570cfae703a2d%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/OFICIAL_LOGO_2.png	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/OFICIAL_LOGO_2.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:38	30812/30812	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:39%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/vision-y-mision	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/pagina/vision-y-mision.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:39	31519/31519	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:40%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/organizacion	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/pagina/organizacion.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:40	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/proye/www.google-analytics.com/analytics.js	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:40	246125/246125	---M-Z	200	added ('OK')	text/javascript	etag:%22dae6-58801c515bfe4%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/js/js_wyI2zXp_FJAOrAAcDiN2ppZGcGnpvrMWy2_xy-FL5JA.js	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/js/js_wyI2zXp_FJAOrAAcDiN2ppZGcGnpvrMWy2_xy-FL5JA.js	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:41	31954/31954	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:42%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/infraestructura	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/pagina/infraestructura.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:41	31245/31245	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:42%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/bolsa-de-trabajo	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/pagina/bolsa-de-trabajo.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:42	37518/37518	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:45%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/carrera/desarrollo-de-sistemas-de-informaci%c3%b3n	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/carrera/desarrollo-de-sistemas-de-informaci%c3%b3n.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:44	38460/38460	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:46%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/carrera/enfermer%c3%ada-t%c3%a9cnica-0	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/carrera/enfermer%c3%ada-t%c3%a9cnica-0.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:45	37818/37818	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:47%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/carrera/mecatr%c3%b3nica-automotriz	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/carrera/mecatr%c3%b3nica-automotriz.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:46	33325/33325	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:48%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/horarios-2022-ii	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/pagina/horarios-2022-ii.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:47	31118/31118	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:49%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/inscripciones-y-requisitos	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/pagina/inscripciones-y-requisitos.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:48	30736/30736	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:50%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/inscripciones	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/pagina/inscripciones.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:49	32440/32440	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:51%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/reglamento-de-admisi%c3%b3n-2021	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/pagina/reglamento-de-admisi%c3%b3n-2021.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:50	31384/31384	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:52%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/tesorer%c3%ada	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/pagina/tesorer%c3%ada.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:52	30969/30969	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:54%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/cronograma-de-matr%c3%adcula-2022-i	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/pagina/cronograma-de-matr%c3%adcula-2022-i.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:52	31881/31881	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:53%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/documentos-presentar	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/pagina/documentos-presentar.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:53	32028/32028	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:55%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/ratificacion-de-matricula-2022-i	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/pagina/ratificacion-de-matricula-2022-i.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:54	31744/31744	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:56%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/tramite-documentario-secretaria-academica	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/pagina/tramite-documentario-secretaria-academica.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:56	32033/32033	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:57%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/front	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/front.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:57	31464/31464	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:59%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/proceso-para-la-titulaci%c3%b3n	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/pagina/proceso-para-la-titulaci%c3%b3n.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:03:09	431568/431568	---M--	200	added ('OK')	image/png	etag:%22695d0-5715c9ee530d6%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/styles/1180x376/public/banner/ENFERMERIA_01-min.png?itok=QyRqdj3g	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/styles/1180x376/public/banner/ENFERMERIA_01-min0d61.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:03:13	482429/482429	---M--	200	added ('OK')	image/png	etag:%2275c7d-5715c9fc8a740%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/styles/1180x376/public/banner/PORTADA_02-min.png?itok=vo9tIZbJ	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/styles/1180x376/public/banner/PORTADA_02-minf2b5.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:03:13	463271/463271	---M--	200	added ('OK')	image/png	etag:%22711a7-5715c9b77d77f%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/styles/1180x376/public/banner/COMPUTACION_01-min.png?itok=bpAWLYUn	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/styles/1180x376/public/banner/COMPUTACION_01-min7b3a.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:03:21	530021/530021	---M--	200	added ('OK')	image/png	etag:%2281665-5715c9f51313f%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/styles/1180x376/public/banner/MECANICA_01-min.png?itok=2Jn7RXhF	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/styles/1180x376/public/banner/MECANICA_01-min1ee2.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:03:28	92819/92819	---M--	200	added ('OK')	image/jpeg	etag:%2216a93-5715d14d856a9%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/image_home_carrera/desarrollo_si_6.JPG	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/image_home_carrera/desarrollo_si_6.jpg	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:03:28	125073/125073	---M--	200	added ('OK')	image/jpeg	etag:%221e891-5715d20ee7794%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/image_home_carrera/mecanica_automotriz_2.JPG	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/image_home_carrera/mecanica_automotriz_2.jpg	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:03:31	35334/35334	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:04:32%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/content/concurso-proceso-de-contrataci%c3%b3n-dl-276-periodo-2023	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/content/concurso-proceso-de-contrataci%c3%b3n-dl-276-periodo-2023.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:03:34	35630/35630	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:04:35%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/content/cursos-mas-tec-2022-dirigido-estudiantes-de-secundaria	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/content/cursos-mas-tec-2022-dirigido-estudiantes-de-secundaria.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:03:39	149639/149639	---M--	200	added ('OK')	image/png	etag:%2224887-5715d1b32f844%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/image_home_carrera/enfermeria_tecnica_2.png	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/image_home_carrera/enfermeria_tecnica_2.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:03:41	34120/34120	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:04:43%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/content/protocolo-de-ingreso-al-instituto-2022	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/content/protocolo-de-ingreso-al-instituto-2022.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:03:43	70486/70486	---M--	200	added ('OK')	image/jpeg	etag:%2211356-5eab906399017%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/styles/medium/public/foto_noticia/WhatsApp%20Image%202022-10-10%20at%208.15.56%20PM_0.jpeg?itok=yd-_UsFZ	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/styles/medium/public/foto_noticia/WhatsApp%20Image%202022-10-10%20at%208.15.56%20PM_02767.jpg	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:03:43	32526/32526	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:04:45%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/content/iestp-misioneros-monfortianos-local-1-nuevo-0	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/content/iestp-misioneros-monfortianos-local-1-nuevo-0.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:03:46	32456/32456	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:04:48%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/content/iestp-misioneros-monfortianos-local-1	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/content/iestp-misioneros-monfortianos-local-1.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:03:58	89044/89044	---M--	200	added ('OK')	image/jpeg	etag:%2215bd4-5bb0085cea8fb%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/IESTP%20MM-1.jpeg	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/IESTP%20MM-1.jpg	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:04:01	32464/32464	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:05:02%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/content/iestp-misioneros-monfortianos-local-1-0	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/content/iestp-misioneros-monfortianos-local-1-0.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:04:14	167884/167884	---M--	200	added ('OK')	image/jpeg	etag:%2228fcc-5bb0053b7e08e%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/IESTP%20MM-2_0.jpeg	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/IESTP%20MM-2_0.jpg	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:04:16	266410/266410	---M--	200	added ('OK')	image/png	etag:%22410aa-5dc79003cae99%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/styles/medium/public/foto_noticia/PORTADA%20PROTOCOLO.png?itok=H4dFTqvc	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/styles/medium/public/foto_noticia/PORTADA%20PROTOCOLOd6ba.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:04:17	32466/32466	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:05:18%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/content/iestp-misioneros-monfortianos-local-1-1	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/content/iestp-misioneros-monfortianos-local-1-1.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:04:17	103652/103652	---M--	200	added ('OK')	image/jpeg	etag:%22194e4-5bb0088721eb9%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/IESTP%20MM-3.jpeg	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/IESTP%20MM-3.jpg	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:04:19	5008/5008	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2001%20Dec%202022%2001:05:22%20GMT	http://www.drelm.gob.pe/images/libro-reclamaciones.png	C:/My%20Web%20Sites/proye/www.drelm.gob.pe/images/libro-reclamaciones.36.delayed	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:04:20	2196/2196	---M--	200	added ('OK')	image/gif	etag:%22894-568df426d2c40%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/all/modules/ctools/images/status-active.gif	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/all/modules/ctools/images/status-active.gif	(from http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_B74t25U4uCtxYIAD4AMsaIUJJ9nga7VP-iFwc6-oWtU.css)
20:04:21	1737/1737	---M--	200	added ('OK')	image/gif	etag:%226c9-5425c4a729140%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/all/libraries/nivo-slider/themes/light/loading.gif	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/all/libraries/nivo-slider/themes/light/loading.gif	(from http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_agP3ke4zlCZeyGVdqdAjnkvDuRkmTes0MWxFcRkJkUs.css)
20:04:21	3288/3288	---M--	200	added ('OK')	image/png	etag:%22cd8-5425c4a729140%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/all/libraries/nivo-slider/themes/light/bullets.png	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/all/libraries/nivo-slider/themes/light/bullets.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_agP3ke4zlCZeyGVdqdAjnkvDuRkmTes0MWxFcRkJkUs.css)
20:04:22	3247/3247	---M--	200	added ('OK')	image/png	etag:%22caf-5425c4a729140%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/all/libraries/nivo-slider/themes/light/arrows.png	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/all/libraries/nivo-slider/themes/light/arrows.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_agP3ke4zlCZeyGVdqdAjnkvDuRkmTes0MWxFcRkJkUs.css)
